,meanArea,team
0,23.557010786900996,TB
1,22.53986972851248,PHI
2,26.16427660426875,MIA
3,24.517172651962042,JAX
4,25.902628197301645,LAC
5,21.898083534174475,BAL
6,22.616523766546287,MIN
7,22.58949503796323,CAR
8,24.306743289100766,GB
9,24.11114619686918,CHI
10,25.692912380572942,DET
11,24.85932477319988,CIN
12,24.915375803602224,HOU
13,22.506377141914324,IND
14,25.50933003733988,NYG
15,23.692279050609404,LA
16,25.208995768067545,WAS
17,23.617984533034868,KC
18,24.08414472559724,CLE
19,25.30163992506114,ARI
20,20.744550635294445,LV
21,25.075652576514607,DEN
22,19.9571442080929,DAL
23,21.91172479157688,NE
24,24.46830058218327,SEA
25,24.26870283260127,PIT
26,26.174136061258096,TEN
27,22.56362324215407,BUF
28,23.515934716116124,ATL
29,22.50596638301219,NYJ
30,24.493620565229666,SF
31,24.95257332213676,NO
