,meanArea,team
0,26.991277541705735,TB
1,22.788694829731874,PHI
2,23.993353278038796,MIA
3,24.197916585926762,JAX
4,22.04986260006518,LAC
5,26.654532834867066,BAL
6,20.59687458871979,MIN
7,24.095861692185547,CAR
8,24.251293975838024,GB
9,23.159710920434748,CHI
10,20.681572191074615,DET
11,22.79115476991607,CIN
12,23.964079836634617,HOU
13,26.596378544897654,IND
14,25.911516784909935,NYG
15,27.482830143397827,LA
16,23.317295087635543,WAS
17,26.777963666001636,KC
18,26.899894592018143,CLE
19,26.231885397177653,ARI
20,21.467685544786736,LV
21,20.459277871719113,DEN
22,20.623554947711227,DAL
23,23.03760625912468,NE
24,23.58831339228383,SEA
25,26.05398271942442,PIT
26,21.89103993735936,TEN
27,27.374100715305794,BUF
28,22.480669115330077,ATL
29,23.999854165945386,NYJ
30,22.8433983410129,SF
31,25.05014067444487,NO
