,meanArea,team
0,25.26427005234756,TB
1,20.521664384933974,DAL
2,22.118836139272346,ATL
3,22.95990025453187,PHI
4,28.718908144413053,BUF
5,24.157116019761435,PIT
6,24.544074710206157,NYJ
7,23.70159957360613,CAR
8,20.845545562736188,MIN
9,22.57196989623484,CIN
10,21.581694914567898,DET
11,24.464257261329024,SF
12,25.041109754811355,HOU
13,22.86845677602436,JAX
14,24.313585363866107,IND
15,23.783221804732218,SEA
16,26.089942393700085,ARI
17,21.47377855868417,TEN
18,23.66028755256601,LAC
19,23.03203305988371,WAS
20,26.61778200047572,CLE
21,26.395137158901772,KC
22,25.06399484266935,NE
23,22.9358626400375,MIA
24,26.574589010417146,NO
25,25.42450552547595,GB
26,24.663426818203515,NYG
27,20.650633058272685,DEN
28,23.038914036003813,CHI
29,27.282018992743954,LA
30,23.331389622646963,LV
31,26.591704901296737,BAL
